age_group,proficiency_level,event_name,topic,difficulty_level,content_type,question,correct_answer,is_correct,response_time_sec,hint_used,attempts,next_recommended_difficulty
Teen,Beginner,Cold War,Politics,Easy,Challenge,What caused what was nato??,military alliance,1,26,No,2,Medium
Teen,Beginner,Cold War,Politics,Medium,Quiz,What was the Cuban Missile Crisis?,nuclear standoff,1,17,No,3,Hard
Teen,Advanced,World War II,War,Easy,Simulation,You are a leader during World War II. What would you do?,strategic decision,0,15,Yes,2,Easy
Teen,Advanced,French Revolution,Revolution,Easy,Challenge,Explain when did the french revolution begin?,1789,1,13,Yes,2,Medium
Teen,Beginner,World War II,War,Hard,Challenge,Describe which countries were part of the allies? briefly,USA UK USSR,0,27,No,1,Medium
Adult,Intermediate,Cold War,Politics,Hard,Challenge,Describe who were the superpowers? briefly,USA USSR,0,23,No,3,Medium
Child,Advanced,Cold War,Politics,Easy,Challenge,Why is what was the cold war? important?,ideological conflict,1,32,No,2,Medium
Teen,Advanced,World War II,War,Easy,Challenge,Why is which countries were part of the allies? important?,USA UK USSR,1,39,Yes,3,Medium
Adult,Advanced,Cold War,Politics,Medium,Challenge,Why is what was the cuban missile crisis? important?,nuclear standoff,1,31,No,1,Hard
Adult,Advanced,French Revolution,Revolution,Easy,Simulation,You are a leader during French Revolution. What would you do?,strategic decision,1,13,No,1,Medium
Teen,Beginner,French Revolution,Revolution,Easy,Simulation,You are a leader during French Revolution. What would you do?,strategic decision,0,40,Yes,1,Easy
Teen,Beginner,Cold War,Politics,Easy,Challenge,Describe which wall divided berlin? briefly,Berlin Wall,1,29,Yes,3,Medium
Adult,Beginner,World War II,War,Hard,Challenge,Explain what event triggered us entry into wwii?,Pearl Harbor,0,18,Yes,1,Medium
Teen,Beginner,Cold War,Politics,Easy,Simulation,You are a leader during Cold War. What would you do?,strategic decision,1,32,Yes,2,Medium
Adult,Beginner,French Revolution,Revolution,Medium,Quiz,When did the French Revolution begin?,1789,1,39,Yes,3,Hard
Child,Advanced,Industrial Revolution,Culture,Medium,Challenge,Explain where did industrial revolution begin?,Britain,1,28,No,1,Hard
Adult,Beginner,French Revolution,Revolution,Easy,Challenge,What caused what was the bastille??,prison,1,38,No,3,Medium
Adult,Advanced,Industrial Revolution,Culture,Medium,Simulation,You are a leader during Industrial Revolution. What would you do?,strategic decision,0,21,Yes,1,Easy
Adult,Beginner,French Revolution,Revolution,Hard,Challenge,What were effects of when did the french revolution begin??,1789,0,8,No,3,Medium
Teen,Advanced,Industrial Revolution,Culture,Medium,Challenge,What were effects of where did industrial revolution begin??,Britain,0,5,Yes,3,Easy
Adult,Intermediate,French Revolution,Revolution,Medium,Challenge,What caused who was the king during the revolution??,Louis XVI,1,39,Yes,1,Hard
Adult,Advanced,French Revolution,Revolution,Medium,Challenge,What caused who was the king during the revolution??,Louis XVI,0,15,Yes,3,Easy
Adult,Beginner,Industrial Revolution,Culture,Medium,Challenge,Why is what powered early factories? important?,coal,1,8,No,3,Hard
Adult,Advanced,World War II,War,Easy,Challenge,Why is when did wwii end? important?,1945,1,16,No,2,Medium
Child,Beginner,French Revolution,Revolution,Easy,Challenge,Why is what was the reign of terror? important?,mass executions,1,8,Yes,2,Medium
Adult,Beginner,World War II,War,Easy,Challenge,What caused who was the leader of nazi germany??,Hitler,1,30,Yes,1,Medium
Adult,Beginner,French Revolution,Revolution,Medium,Quiz,What document declared rights?,Declaration of Rights,0,31,No,2,Easy
Adult,Advanced,Industrial Revolution,Culture,Medium,Challenge,What caused what changed transportation??,railways,1,27,No,1,Hard
Child,Intermediate,Cold War,Politics,Medium,Challenge,Explain who were the superpowers?,USA USSR,0,7,No,1,Easy
Teen,Intermediate,Industrial Revolution,Culture,Easy,Challenge,Explain what changed transportation?,railways,1,24,No,3,Medium
Adult,Advanced,Industrial Revolution,Culture,Medium,Challenge,Why is what powered early factories? important?,coal,1,33,Yes,2,Hard
Teen,Beginner,World War II,War,Easy,Quiz,When did World War II begin?,1939,0,5,Yes,3,Easy
Child,Advanced,Industrial Revolution,Culture,Medium,Challenge,Describe what powered early factories? briefly,coal,1,13,No,3,Hard
Child,Intermediate,World War II,War,Medium,Quiz,When did World War II begin?,1939,1,21,No,3,Hard
Child,Intermediate,French Revolution,Revolution,Hard,Challenge,Describe what document declared rights? briefly,Declaration of Rights,0,18,Yes,2,Medium
Adult,Beginner,Industrial Revolution,Culture,Easy,Challenge,Why is what changed transportation? important?,railways,1,36,No,3,Medium
Child,Advanced,World War II,War,Hard,Challenge,What caused when did world war ii begin??,1939,0,30,Yes,3,Medium
Adult,Beginner,Cold War,Politics,Easy,Challenge,Why is what was the cold war? important?,ideological conflict,1,24,No,3,Medium
Child,Beginner,Industrial Revolution,Culture,Hard,Challenge,Describe what industry grew rapidly? briefly,textiles,0,15,Yes,2,Medium
Adult,Advanced,French Revolution,Revolution,Hard,Simulation,You are a leader during French Revolution. What would you do?,strategic decision,1,38,No,1,Hard
Child,Intermediate,Cold War,Politics,Medium,Challenge,Why is what was the cold war? important?,ideological conflict,1,14,No,2,Hard
Adult,Intermediate,World War II,War,Hard,Challenge,What caused which countries were part of the allies??,USA UK USSR,1,27,Yes,3,Hard
Child,Beginner,French Revolution,Revolution,Medium,Quiz,What was the Reign of Terror?,mass executions,0,37,No,3,Easy
Child,Beginner,French Revolution,Revolution,Easy,Challenge,Explain what was the reign of terror?,mass executions,1,30,No,2,Medium
Child,Beginner,French Revolution,Revolution,Hard,Challenge,Why is what document declared rights? important?,Declaration of Rights,0,21,Yes,2,Medium
Adult,Beginner,French Revolution,Revolution,Hard,Challenge,Why is what document declared rights? important?,Declaration of Rights,0,29,No,1,Medium
Adult,Advanced,Cold War,Politics,Hard,Challenge,What were effects of which wall divided berlin??,Berlin Wall,1,19,Yes,2,Hard
Teen,Beginner,World War II,War,Hard,Quiz,Which countries were part of the Allies?,USA UK USSR,1,23,Yes,3,Hard
Adult,Advanced,World War II,War,Easy,Challenge,What were effects of which countries were part of the allies??,USA UK USSR,1,12,Yes,2,Medium
