user_id,age_group,proficiency_level,event_id,event_name,topic,difficulty_level,content_type,question,user_answer,correct_answer,is_correct,response_time_sec,hint_used,attempts,score,engagement_level,next_recommended_difficulty,feedback
U000001,Teen,Beginner,E103,American Revolution,Revolution,Easy,Quiz,Who was the first President of the United States?,George Washington,George Washington,1,10,Yes,3,19,Low,Medium,"Good effort, review the topic."
U000002,Child,Intermediate,E105,Indus Valley Civilization,Culture,Hard,Simulation,What was a key feature of Indus cities?,Advanced drainage,Advanced drainage,1,9,No,2,11,Low,Hard,Consider revising this concept.
U000003,Teen,Advanced,E101,French Revolution,Revolution,Medium,Challenge,Who was executed during the Reign of Terror?,1945,Louis XVI,0,28,Yes,1,6,Low,Easy,Consider revising this concept.
U000004,Adult,Advanced,E104,Cold War,Politics,Easy,Quiz,Which two superpowers were involved?,USA and USSR,USA and USSR,1,9,Yes,2,18,Medium,Medium,Great job! Keep progressing.
U000005,Child,Intermediate,E105,Indus Valley Civilization,Culture,Easy,Challenge,Can you tell what was a key feature of Indus cities?,Advanced drainage,Advanced drainage,1,6,Yes,2,15,Low,Medium,Consider revising this concept.
U000006,Child,Advanced,E102,World War II,War,Easy,Quiz,Name the person who was the leader of Nazi Germany?,Adolf Hitler,Adolf Hitler,1,8,Yes,1,14,High,Medium,Great job! Keep progressing.
U000007,Teen,Intermediate,E105,Indus Valley Civilization,Culture,Medium,Challenge,What was a key feature of Indus cities?,Advanced drainage,Advanced drainage,1,39,Yes,1,18,Medium,Hard,Great job! Keep progressing.
U000008,Child,Beginner,E101,French Revolution,Revolution,Easy,Simulation,When did the French Revolution begin?,1789,1789,1,28,No,2,14,Medium,Medium,You're improving steadily.
U000009,Teen,Intermediate,E105,Indus Valley Civilization,Culture,Hard,Quiz,What was a key feature of Indus cities?,France,Advanced drainage,0,10,Yes,3,5,High,Easy,Excellent understanding!
U000010,Teen,Advanced,E101,French Revolution,Revolution,Medium,Simulation,Who was executed during the Reign of Terror?,Louis XVI,Louis XVI,1,16,No,2,18,Low,Hard,Great job! Keep progressing.
U000011,Adult,Intermediate,E102,World War II,War,Medium,Simulation,Identify which country invaded Poland in 1939?,Germany,Germany,1,32,No,2,15,Low,Hard,Excellent understanding!
U000012,Adult,Intermediate,E101,French Revolution,Revolution,Medium,Quiz,Who was executed during the Reign of Terror?,Louis XVI,Louis XVI,1,37,Yes,3,19,High,Hard,Great job! Keep progressing.
U000013,Adult,Beginner,E101,French Revolution,Revolution,Hard,Quiz,When did the French Revolution begin?,1789,1789,1,31,Yes,3,13,Medium,Hard,"Good effort, review the topic."
U000014,Adult,Intermediate,E102,World War II,War,Easy,Challenge,Can you tell what ended World War II in Japan?,Random guess,Atomic bombings,0,40,Yes,1,4,Medium,Easy,Great job! Keep progressing.
U000015,Adult,Beginner,E102,World War II,War,Easy,Quiz,Which country invaded Poland in 1939?,Random guess,Germany,0,34,No,1,0,Medium,Easy,Excellent understanding!
