age_group,proficiency_level,event_name,topic,difficulty_level,content_type,question,correct_answer,is_correct,response_time_sec,hint_used,attempts,next_recommended_difficulty
Adult,Intermediate,American Revolution,Revolution,Hard,Simulation,Explain the impact of American Revolution (ID-783),strategic decision,1,15,No,2,Hard
Adult,Advanced,World War I,War,Hard,Simulation,Who were key figures in World War I? (ID-1337),strategic decision,1,22,No,3,Hard
Teen,Advanced,Roman Empire,Politics,Easy,Challenge,What role did leadership play in Roman Empire? (ID-793),historical explanation,1,31,No,1,Medium
Child,Beginner,Indus Valley Civilization,Culture,Medium,Challenge,What caused Indus Valley Civilization? (ID-370),historical explanation,1,6,Yes,3,Hard
Teen,Advanced,Industrial Revolution,Culture,Medium,Quiz,Describe key events of Industrial Revolution (ID-683),1789,1,10,No,2,Hard
Adult,Beginner,American Revolution,Revolution,Hard,Simulation,When did American Revolution begin? (ID-516),strategic decision,0,29,Yes,2,Medium
Teen,Beginner,American Revolution,Revolution,Medium,Challenge,Explain the impact of American Revolution (ID-1456),historical explanation,1,20,No,3,Hard
Child,Intermediate,Roman Empire,Politics,Easy,Quiz,What role did leadership play in Roman Empire? (ID-887),1914,0,36,Yes,2,Easy
Child,Beginner,Industrial Revolution,Culture,Easy,Simulation,What was the outcome of Industrial Revolution? (ID-591),strategic decision,1,22,Yes,2,Medium
Adult,Beginner,World War I,War,Easy,Challenge,What were the consequences of World War I? (ID-1318),historical explanation,1,25,No,3,Medium
Child,Advanced,Industrial Revolution,Culture,Hard,Challenge,What were the consequences of Industrial Revolution? (ID-438),historical explanation,0,28,Yes,3,Medium
Teen,Intermediate,Cold War,Politics,Medium,Simulation,When did Cold War begin? (ID-32),strategic decision,1,17,Yes,3,Hard
Adult,Beginner,World War I,War,Easy,Challenge,What were the consequences of World War I? (ID-313),historical explanation,1,14,No,3,Medium
Teen,Intermediate,American Revolution,Revolution,Easy,Quiz,How did American Revolution influence society? (ID-1264),1789,1,21,No,2,Medium
Child,Advanced,World War I,War,Medium,Simulation,Why is World War I important? (ID-718),strategic decision,1,25,No,2,Hard
Teen,Beginner,Industrial Revolution,Culture,Easy,Challenge,What role did leadership play in Industrial Revolution? (ID-41),historical explanation,1,25,No,2,Medium
Teen,Intermediate,American Revolution,Revolution,Medium,Challenge,Who were key figures in American Revolution? (ID-1065),historical explanation,1,21,No,1,Hard
Child,Beginner,World War II,War,Hard,Challenge,What were the consequences of World War II? (ID-376),historical explanation,0,15,No,2,Medium
Child,Advanced,French Revolution,Revolution,Easy,Quiz,Describe key events of French Revolution (ID-1489),1914,1,29,No,3,Medium
Child,Intermediate,American Revolution,Revolution,Easy,Quiz,Describe key events of American Revolution (ID-1074),1914,1,35,No,3,Medium
Child,Advanced,Industrial Revolution,Culture,Medium,Challenge,What role did leadership play in Industrial Revolution? (ID-76),historical explanation,1,25,No,1,Hard
Teen,Advanced,American Revolution,Revolution,Hard,Challenge,What was the outcome of American Revolution? (ID-348),historical explanation,1,21,No,3,Hard
Child,Advanced,World War I,War,Hard,Quiz,What were the consequences of World War I? (ID-1125),1776,1,24,Yes,3,Hard
Adult,Beginner,World War II,War,Medium,Quiz,What were the consequences of World War II? (ID-870),1939,0,36,No,1,Easy
