user_id,age_group,proficiency_level,event_id,event_name,topic,difficulty_level,content_type,question,user_answer,correct_answer,is_correct,response_time_sec,hint_used,attempts,score,engagement_level,next_recommended_difficulty,feedback
1688,10-12,Beginner,1,Egyptian Event 1,Politics,Easy,MCQ,"In Egyptian civilization, what is a key fact about politics? (Q1)",Correct fact about Egyptian Politics,Correct fact about Egyptian Politics,True,26,True,2,44,Medium,Medium,Feedback for Egyptian Politics question 1
1156,13-15,Beginner,2,Mesopotamian Event 2,Religion,Medium,True-False,"In Mesopotamian civilization, what is a key fact about religion? (Q2)",Correct fact about Mesopotamian Religion,Correct fact about Mesopotamian Religion,True,55,True,2,88,Low,Medium,Feedback for Mesopotamian Religion question 2
1288,13-15,Intermediate,3,Indus Valley Event 3,Architecture,Hard,Short,"In Indus Valley civilization, what is a key fact about architecture? (Q3)",Correct fact about Indus Valley Architecture,Correct fact about Indus Valley Architecture,True,26,False,2,77,Medium,Hard,Feedback for Indus Valley Architecture question 3
1619,16-18,Intermediate,4,Chinese Event 4,Economy,Easy,MCQ,"In Chinese civilization, what is a key fact about economy? (Q4)",Correct fact about Chinese Economy,Correct fact about Chinese Economy,True,41,False,2,32,High,Medium,Feedback for Chinese Economy question 4
1004,16-18,Intermediate,5,Greek Event 5,Science,Medium,True-False,"In Greek civilization, what is a key fact about science? (Q5)",Correct fact about Greek Science,Correct fact about Greek Science,True,35,True,2,33,High,Hard,Feedback for Greek Science question 5
1580,13-15,Intermediate,6,Roman Event 6,Culture,Hard,Short,"In Roman civilization, what is a key fact about culture? (Q6)",Correct fact about Roman Culture,Correct fact about Roman Culture,True,45,True,2,0,High,Hard,Feedback for Roman Culture question 6
1225,10-12,Beginner,7,Mayan Event 7,War,Easy,MCQ,"In Mayan civilization, what is a key fact about war? (Q7)",Wrong answer 6,Correct fact about Mayan War,False,53,False,2,87,Low,Medium,Feedback for Mayan War question 7
1861,16-18,Intermediate,8,Egyptian Event 8,Politics,Medium,True-False,"In Egyptian civilization, what is a key fact about politics? (Q8)",Correct fact about Egyptian Politics,Correct fact about Egyptian Politics,True,54,True,3,91,Low,Easy,Feedback for Egyptian Politics question 8
1601,13-15,Advanced,9,Mesopotamian Event 9,Religion,Hard,Short,"In Mesopotamian civilization, what is a key fact about religion? (Q9)",Correct fact about Mesopotamian Religion,Correct fact about Mesopotamian Religion,True,53,True,3,79,Low,Medium,Feedback for Mesopotamian Religion question 9
1114,16-18,Beginner,10,Indus Valley Event 10,Architecture,Easy,MCQ,"In Indus Valley civilization, what is a key fact about architecture? (Q10)",Correct fact about Indus Valley Architecture,Correct fact about Indus Valley Architecture,True,19,True,3,78,Low,Hard,Feedback for Indus Valley Architecture question 10
1399,13-15,Advanced,11,Chinese Event 11,Economy,Medium,True-False,"In Chinese civilization, what is a key fact about economy? (Q11)",Wrong answer 10,Correct fact about Chinese Economy,False,10,True,2,72,High,Easy,Feedback for Chinese Economy question 11
1671,10-12,Intermediate,12,Greek Event 12,Science,Hard,Short,"In Greek civilization, what is a key fact about science? (Q12)",Wrong answer 11,Correct fact about Greek Science,False,47,True,3,77,Low,Easy,Feedback for Greek Science question 12
1626,10-12,Intermediate,13,Roman Event 13,Culture,Easy,MCQ,"In Roman civilization, what is a key fact about culture? (Q13)",Correct fact about Roman Culture,Correct fact about Roman Culture,True,19,False,1,29,Low,Easy,Feedback for Roman Culture question 13
1525,13-15,Advanced,14,Mayan Event 14,War,Medium,True-False,"In Mayan civilization, what is a key fact about war? (Q14)",Wrong answer 13,Correct fact about Mayan War,False,5,True,3,16,Medium,Hard,Feedback for Mayan War question 14
1838,10-12,Intermediate,15,Egyptian Event 15,Politics,Hard,Short,"In Egyptian civilization, what is a key fact about politics? (Q15)",Correct fact about Egyptian Politics,Correct fact about Egyptian Politics,True,19,False,2,88,Low,Easy,Feedback for Egyptian Politics question 15
1214,13-15,Intermediate,16,Mesopotamian Event 16,Religion,Easy,MCQ,"In Mesopotamian civilization, what is a key fact about religion? (Q16)",Wrong answer 15,Correct fact about Mesopotamian Religion,False,29,True,1,25,Low,Medium,Feedback for Mesopotamian Religion question 16
1843,13-15,Advanced,17,Indus Valley Event 17,Architecture,Medium,True-False,"In Indus Valley civilization, what is a key fact about architecture? (Q17)",Correct fact about Indus Valley Architecture,Correct fact about Indus Valley Architecture,True,23,False,2,72,Medium,Easy,Feedback for Indus Valley Architecture question 17
1270,10-12,Intermediate,18,Chinese Event 18,Economy,Hard,Short,"In Chinese civilization, what is a key fact about economy? (Q18)",Correct fact about Chinese Economy,Correct fact about Chinese Economy,True,41,True,2,78,Medium,Hard,Feedback for Chinese Economy question 18
1823,13-15,Advanced,19,Greek Event 19,Science,Easy,MCQ,"In Greek civilization, what is a key fact about science? (Q19)",Wrong answer 18,Correct fact about Greek Science,False,60,False,2,6,Medium,Hard,Feedback for Greek Science question 19
1666,16-18,Intermediate,20,Roman Event 20,Culture,Medium,True-False,"In Roman civilization, what is a key fact about culture? (Q20)",Correct fact about Roman Culture,Correct fact about Roman Culture,True,5,False,3,68,High,Easy,Feedback for Roman Culture question 20
1526,13-15,Intermediate,21,Mayan Event 21,War,Hard,Short,"In Mayan civilization, what is a key fact about war? (Q21)",Wrong answer 20,Correct fact about Mayan War,False,58,False,1,67,High,Medium,Feedback for Mayan War question 21
1009,10-12,Intermediate,22,Egyptian Event 22,Politics,Easy,MCQ,"In Egyptian civilization, what is a key fact about politics? (Q22)",Wrong answer 21,Correct fact about Egyptian Politics,False,56,True,2,29,High,Hard,Feedback for Egyptian Politics question 22
1837,13-15,Advanced,23,Mesopotamian Event 23,Religion,Medium,True-False,"In Mesopotamian civilization, what is a key fact about religion? (Q23)",Correct fact about Mesopotamian Religion,Correct fact about Mesopotamian Religion,True,47,True,3,55,Medium,Medium,Feedback for Mesopotamian Religion question 23
1069,10-12,Beginner,24,Indus Valley Event 24,Architecture,Hard,Short,"In Indus Valley civilization, what is a key fact about architecture? (Q24)",Correct fact about Indus Valley Architecture,Correct fact about Indus Valley Architecture,True,51,True,3,70,Low,Easy,Feedback for Indus Valley Architecture question 24
1717,16-18,Beginner,25,Chinese Event 25,Economy,Easy,MCQ,"In Chinese civilization, what is a key fact about economy? (Q25)",Correct fact about Chinese Economy,Correct fact about Chinese Economy,True,17,False,1,4,Low,Medium,Feedback for Chinese Economy question 25
1964,13-15,Advanced,26,Greek Event 26,Science,Medium,True-False,"In Greek civilization, what is a key fact about science? (Q26)",Correct fact about Greek Science,Correct fact about Greek Science,True,58,True,3,13,High,Easy,Feedback for Greek Science question 26
1357,13-15,Advanced,27,Roman Event 27,Culture,Hard,Short,"In Roman civilization, what is a key fact about culture? (Q27)",Correct fact about Roman Culture,Correct fact about Roman Culture,True,58,False,3,92,Medium,Easy,Feedback for Roman Culture question 27
1937,13-15,Intermediate,28,Mayan Event 28,War,Easy,MCQ,"In Mayan civilization, what is a key fact about war? (Q28)",Wrong answer 27,Correct fact about Mayan War,False,44,True,2,51,Medium,Easy,Feedback for Mayan War question 28
1242,16-18,Beginner,29,Egyptian Event 29,Politics,Medium,True-False,"In Egyptian civilization, what is a key fact about politics? (Q29)",Wrong answer 28,Correct fact about Egyptian Politics,False,54,True,3,44,Medium,Hard,Feedback for Egyptian Politics question 29
1276,16-18,Beginner,30,Mesopotamian Event 30,Religion,Hard,Short,"In Mesopotamian civilization, what is a key fact about religion? (Q30)",Wrong answer 29,Correct fact about Mesopotamian Religion,False,12,True,2,100,Medium,Medium,Feedback for Mesopotamian Religion question 30
1065,16-18,Advanced,31,Indus Valley Event 31,Architecture,Easy,MCQ,"In Indus Valley civilization, what is a key fact about architecture? (Q31)",Wrong answer 30,Correct fact about Indus Valley Architecture,False,11,False,3,27,Low,Medium,Feedback for Indus Valley Architecture question 31
1035,13-15,Advanced,32,Chinese Event 32,Economy,Medium,True-False,"In Chinese civilization, what is a key fact about economy? (Q32)",Wrong answer 31,Correct fact about Chinese Economy,False,48,True,2,60,High,Easy,Feedback for Chinese Economy question 32
1948,10-12,Advanced,33,Greek Event 33,Science,Hard,Short,"In Greek civilization, what is a key fact about science? (Q33)",Correct fact about Greek Science,Correct fact about Greek Science,True,26,True,3,12,Medium,Medium,Feedback for Greek Science question 33
1021,16-18,Advanced,34,Roman Event 34,Culture,Easy,MCQ,"In Roman civilization, what is a key fact about culture? (Q34)",Correct fact about Roman Culture,Correct fact about Roman Culture,True,39,False,3,5,Low,Easy,Feedback for Roman Culture question 34
1603,10-12,Intermediate,35,Mayan Event 35,War,Medium,True-False,"In Mayan civilization, what is a key fact about war? (Q35)",Correct fact about Mayan War,Correct fact about Mayan War,True,33,False,1,6,Medium,Medium,Feedback for Mayan War question 35
1388,13-15,Intermediate,36,Egyptian Event 36,Politics,Hard,Short,"In Egyptian civilization, what is a key fact about politics? (Q36)",Correct fact about Egyptian Politics,Correct fact about Egyptian Politics,True,47,True,3,23,Low,Easy,Feedback for Egyptian Politics question 36
1179,10-12,Beginner,37,Mesopotamian Event 37,Religion,Easy,MCQ,"In Mesopotamian civilization, what is a key fact about religion? (Q37)",Correct fact about Mesopotamian Religion,Correct fact about Mesopotamian Religion,True,34,True,3,52,Low,Medium,Feedback for Mesopotamian Religion question 37
1679,16-18,Intermediate,38,Indus Valley Event 38,Architecture,Medium,True-False,"In Indus Valley civilization, what is a key fact about architecture? (Q38)",Wrong answer 37,Correct fact about Indus Valley Architecture,False,33,False,3,9,High,Easy,Feedback for Indus Valley Architecture question 38
1246,16-18,Beginner,39,Chinese Event 39,Economy,Hard,Short,"In Chinese civilization, what is a key fact about economy? (Q39)",Correct fact about Chinese Economy,Correct fact about Chinese Economy,True,47,True,1,31,High,Hard,Feedback for Chinese Economy question 39
1681,10-12,Advanced,40,Greek Event 40,Science,Easy,MCQ,"In Greek civilization, what is a key fact about science? (Q40)",Wrong answer 39,Correct fact about Greek Science,False,15,True,1,9,High,Medium,Feedback for Greek Science question 40
1864,16-18,Intermediate,41,Roman Event 41,Culture,Medium,True-False,"In Roman civilization, what is a key fact about culture? (Q41)",Wrong answer 40,Correct fact about Roman Culture,False,57,False,3,91,Low,Hard,Feedback for Roman Culture question 41
1145,16-18,Intermediate,42,Mayan Event 42,War,Hard,Short,"In Mayan civilization, what is a key fact about war? (Q42)",Wrong answer 41,Correct fact about Mayan War,False,10,False,3,45,Low,Hard,Feedback for Mayan War question 42
1552,16-18,Beginner,43,Egyptian Event 43,Politics,Easy,MCQ,"In Egyptian civilization, what is a key fact about politics? (Q43)",Correct fact about Egyptian Politics,Correct fact about Egyptian Politics,True,47,True,1,60,Medium,Hard,Feedback for Egyptian Politics question 43
1826,10-12,Beginner,44,Mesopotamian Event 44,Religion,Medium,True-False,"In Mesopotamian civilization, what is a key fact about religion? (Q44)",Wrong answer 43,Correct fact about Mesopotamian Religion,False,38,True,3,10,Low,Medium,Feedback for Mesopotamian Religion question 44
1508,10-12,Intermediate,45,Indus Valley Event 45,Architecture,Hard,Short,"In Indus Valley civilization, what is a key fact about architecture? (Q45)",Wrong answer 44,Correct fact about Indus Valley Architecture,False,25,True,2,40,High,Medium,Feedback for Indus Valley Architecture question 45
1213,16-18,Intermediate,46,Chinese Event 46,Economy,Easy,MCQ,"In Chinese civilization, what is a key fact about economy? (Q46)",Correct fact about Chinese Economy,Correct fact about Chinese Economy,True,26,True,3,26,Medium,Medium,Feedback for Chinese Economy question 46
1403,16-18,Beginner,47,Greek Event 47,Science,Medium,True-False,"In Greek civilization, what is a key fact about science? (Q47)",Wrong answer 46,Correct fact about Greek Science,False,30,False,2,15,Low,Hard,Feedback for Greek Science question 47
1012,10-12,Advanced,48,Roman Event 48,Culture,Hard,Short,"In Roman civilization, what is a key fact about culture? (Q48)",Correct fact about Roman Culture,Correct fact about Roman Culture,True,29,True,1,72,Low,Medium,Feedback for Roman Culture question 48
1954,16-18,Advanced,49,Mayan Event 49,War,Easy,MCQ,"In Mayan civilization, what is a key fact about war? (Q49)",Wrong answer 48,Correct fact about Mayan War,False,8,True,3,39,Medium,Medium,Feedback for Mayan War question 49
1799,10-12,Intermediate,50,Egyptian Event 50,Politics,Medium,True-False,"In Egyptian civilization, what is a key fact about politics? (Q50)",Correct fact about Egyptian Politics,Correct fact about Egyptian Politics,True,48,True,3,73,High,Hard,Feedback for Egyptian Politics question 50
1534,13-15,Beginner,51,Mesopotamian Event 51,Religion,Hard,Short,"In Mesopotamian civilization, what is a key fact about religion? (Q51)",Correct fact about Mesopotamian Religion,Correct fact about Mesopotamian Religion,True,54,True,3,45,Low,Hard,Feedback for Mesopotamian Religion question 51
1359,10-12,Advanced,52,Indus Valley Event 52,Architecture,Easy,MCQ,"In Indus Valley civilization, what is a key fact about architecture? (Q52)",Wrong answer 51,Correct fact about Indus Valley Architecture,False,30,True,2,2,High,Hard,Feedback for Indus Valley Architecture question 52
1430,10-12,Advanced,53,Chinese Event 53,Economy,Medium,True-False,"In Chinese civilization, what is a key fact about economy? (Q53)",Wrong answer 52,Correct fact about Chinese Economy,False,21,False,2,55,High,Easy,Feedback for Chinese Economy question 53
1460,13-15,Beginner,54,Greek Event 54,Science,Hard,Short,"In Greek civilization, what is a key fact about science? (Q54)",Wrong answer 53,Correct fact about Greek Science,False,60,True,3,22,Medium,Easy,Feedback for Greek Science question 54
1283,10-12,Advanced,55,Roman Event 55,Culture,Easy,MCQ,"In Roman civilization, what is a key fact about culture? (Q55)",Wrong answer 54,Correct fact about Roman Culture,False,7,False,2,60,Low,Easy,Feedback for Roman Culture question 55
1634,16-18,Advanced,56,Mayan Event 56,War,Medium,True-False,"In Mayan civilization, what is a key fact about war? (Q56)",Correct fact about Mayan War,Correct fact about Mayan War,True,13,True,1,17,Medium,Medium,Feedback for Mayan War question 56
1128,10-12,Beginner,57,Egyptian Event 57,Politics,Hard,Short,"In Egyptian civilization, what is a key fact about politics? (Q57)",Wrong answer 56,Correct fact about Egyptian Politics,False,41,True,2,28,Medium,Medium,Feedback for Egyptian Politics question 57
1772,16-18,Intermediate,58,Mesopotamian Event 58,Religion,Easy,MCQ,"In Mesopotamian civilization, what is a key fact about religion? (Q58)",Wrong answer 57,Correct fact about Mesopotamian Religion,False,27,True,1,33,Medium,Hard,Feedback for Mesopotamian Religion question 58
1310,10-12,Advanced,59,Indus Valley Event 59,Architecture,Medium,True-False,"In Indus Valley civilization, what is a key fact about architecture? (Q59)",Wrong answer 58,Correct fact about Indus Valley Architecture,False,57,True,1,3,Medium,Easy,Feedback for Indus Valley Architecture question 59
1756,10-12,Advanced,60,Chinese Event 60,Economy,Hard,Short,"In Chinese civilization, what is a key fact about economy? (Q60)",Correct fact about Chinese Economy,Correct fact about Chinese Economy,True,45,True,3,79,Medium,Medium,Feedback for Chinese Economy question 60
1689,10-12,Beginner,61,Greek Event 61,Science,Easy,MCQ,"In Greek civilization, what is a key fact about science? (Q61)",Correct fact about Greek Science,Correct fact about Greek Science,True,24,False,3,66,High,Hard,Feedback for Greek Science question 61
1802,13-15,Intermediate,62,Roman Event 62,Culture,Medium,True-False,"In Roman civilization, what is a key fact about culture? (Q62)",Correct fact about Roman Culture,Correct fact about Roman Culture,True,40,False,1,92,High,Easy,Feedback for Roman Culture question 62
1152,13-15,Advanced,63,Mayan Event 63,War,Hard,Short,"In Mayan civilization, what is a key fact about war? (Q63)",Wrong answer 62,Correct fact about Mayan War,False,9,False,3,34,Medium,Hard,Feedback for Mayan War question 63
1501,13-15,Advanced,64,Egyptian Event 64,Politics,Easy,MCQ,"In Egyptian civilization, what is a key fact about politics? (Q64)",Wrong answer 63,Correct fact about Egyptian Politics,False,53,True,2,94,Low,Hard,Feedback for Egyptian Politics question 64
1369,16-18,Advanced,65,Mesopotamian Event 65,Religion,Medium,True-False,"In Mesopotamian civilization, what is a key fact about religion? (Q65)",Wrong answer 64,Correct fact about Mesopotamian Religion,False,9,False,3,42,Low,Hard,Feedback for Mesopotamian Religion question 65
1989,10-12,Intermediate,66,Indus Valley Event 66,Architecture,Hard,Short,"In Indus Valley civilization, what is a key fact about architecture? (Q66)",Correct fact about Indus Valley Architecture,Correct fact about Indus Valley Architecture,True,8,True,2,8,Low,Easy,Feedback for Indus Valley Architecture question 66
1000,16-18,Advanced,67,Chinese Event 67,Economy,Easy,MCQ,"In Chinese civilization, what is a key fact about economy? (Q67)",Correct fact about Chinese Economy,Correct fact about Chinese Economy,True,5,True,3,38,Medium,Easy,Feedback for Chinese Economy question 67
1380,13-15,Advanced,68,Greek Event 68,Science,Medium,True-False,"In Greek civilization, what is a key fact about science? (Q68)",Correct fact about Greek Science,Correct fact about Greek Science,True,49,False,2,100,Medium,Medium,Feedback for Greek Science question 68
1963,10-12,Beginner,69,Roman Event 69,Culture,Hard,Short,"In Roman civilization, what is a key fact about culture? (Q69)",Correct fact about Roman Culture,Correct fact about Roman Culture,True,8,True,1,24,Medium,Hard,Feedback for Roman Culture question 69
1653,13-15,Intermediate,70,Mayan Event 70,War,Easy,MCQ,"In Mayan civilization, what is a key fact about war? (Q70)",Wrong answer 69,Correct fact about Mayan War,False,25,False,2,68,Medium,Medium,Feedback for Mayan War question 70
1228,10-12,Advanced,71,Egyptian Event 71,Politics,Medium,True-False,"In Egyptian civilization, what is a key fact about politics? (Q71)",Wrong answer 70,Correct fact about Egyptian Politics,False,32,False,2,57,Medium,Medium,Feedback for Egyptian Politics question 71
1388,13-15,Beginner,72,Mesopotamian Event 72,Religion,Hard,Short,"In Mesopotamian civilization, what is a key fact about religion? (Q72)",Wrong answer 71,Correct fact about Mesopotamian Religion,False,21,False,2,57,Low,Hard,Feedback for Mesopotamian Religion question 72
1408,10-12,Beginner,73,Indus Valley Event 73,Architecture,Easy,MCQ,"In Indus Valley civilization, what is a key fact about architecture? (Q73)",Wrong answer 72,Correct fact about Indus Valley Architecture,False,51,False,3,14,High,Easy,Feedback for Indus Valley Architecture question 73
1432,16-18,Beginner,74,Chinese Event 74,Economy,Medium,True-False,"In Chinese civilization, what is a key fact about economy? (Q74)",Wrong answer 73,Correct fact about Chinese Economy,False,56,True,2,79,High,Hard,Feedback for Chinese Economy question 74
1811,16-18,Advanced,75,Greek Event 75,Science,Hard,Short,"In Greek civilization, what is a key fact about science? (Q75)",Correct fact about Greek Science,Correct fact about Greek Science,True,31,True,3,55,Medium,Easy,Feedback for Greek Science question 75
